INDIAN INSTITUTE OF MANAGEMENT CALCUTTA,,,,,,,,,,,,,
,,,,,,,,,,,,,
POST  GRADUATE  PROGRAMME  IN  MANAGEMENT ,,,,,,,,,,,,,
6.00 - 7.30 pm,"Management Practices Across Cross Cultural Contexts
 (Compulsory for CEMS-MIM) (AG) N- 22","International Marketing (B ) 
(AKB) L- 4

LANGUAGE CLASS (6 to 8 PM)
French  - L-21
Spanish - L-22
German - A-105","Management Through Films
(BC-CC/PRay/VJ/BC/AP/Smeeta) L-51

Marketing and Society 

","Strategic Marketing of Innovation and Technology Business
(KR-CC/ Bagri-PTVF) L-1

","Digital and Social Media Marketing
(Siddhesh-VF/PM-CC)

LANGUAGE CLASS (6 to 8 PM)
French  - L-21
Spanish - L-22
German - A-105",,,,,,,,
" I. Classes cancelled due to Institute’s  regular holidays  or  natural calamities, bandh etc., will be rescheduled on request from Course Instructors/Course Coordinators on availability of slots and as per convenience of the PGP Office.",,,,,,(Siddhesh-VF/PM-CC),,,,,,,
II. Those courses which have more than 2 sessions in a week are taught by PTVF  (Date wise/Week wise schedule will be announced shortly),,,,,,,,,,,,,
III. Abbreviations :,,,,,,,,,,,,,
AG,Prof. Abhishek Goel,CJ,Prof. Chetan Joshi,,PRay,Prof. Partha Ray,,,,,,,
AKB,Prof. Ashish K Banerjee,CS,Prof. Chiranjib Sen (VF),,RC,Prof. Raghabendra Chattopadhyay (VF),,,,,,,
ANS,Prof. Anindya Sen,Deb,Prof. Deb Ghosh,,Sb,Prof. Sumanta Basu,,,,,,,
AP,Prof. Anirvan Pant,KC,Prof. Koushiki Chowdhury,,Siddhesh,Mr. Siddhesh Joglekar (VF),,,,,,,
Arnab,Prof. Arnab Bhattacharya,KR,Prof. Krishanu Rakshit,,Smeeta,Prof. Smeeta Mishra,,,,,,,
ASom,Prof. Ashok Som (VF),Murali,Prof. Murali Mantrala (VF) - HUL,,Ssikdar,Prof. Soumyendranath Sikdar,,,,,,,
Bagri,Prof. Prakash Bagri (VF),NPJ,Prof. Nimruji Prasad J,,UKS,Prof. Uttam K Sarkar,,,,,,,
Bala R,Mr. Balachandran R (VF),PB,Prof. Preetam Basu,,VJ,Prof. Vidyanand Jha,,,,,,,
BC,Prof. Bhaskar Chakrabarti,PM,Prof. Prashant Mishra,,VR,Prof. Vivek Rajvanshi,,,,,,,
BPA,Prof. Biju Paul Abraham,PP,Prof. Parthapratim Pal,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(Prof. VK Unni),,,,,,,
"Dated : November 12, 2018",,,,,,Chairperson - PGP,,,,,,,
